epoch,train_total,train_one_step,train_rollout,valid_1step_mean_per_field,valid_1step_sqrt_mean_mse_over_mean_var,valid_1step_sqrt_sum_mse_over_sum_var,valid_1step_per_field,valid_rollout_mean_per_field,valid_rollout_sqrt_mean_mse_over_mean_var,valid_rollout_sqrt_sum_mse_over_sum_var,valid_rollout_per_field
1,0.2875984836783674,0.15506018149549797,0.21006839203672487,0.34326764941215515,0.3567209839820862,0.3567209839820862,"[0.20536896586418152, 0.42129045724868774, 0.3516084551811218, 0.3948027193546295]",0.3982674479484558,0.41595736145973206,0.41595739126205444,"[0.2303435057401657, 0.49189695715904236, 0.3987783193588257, 0.47205090522766113]"
2,0.17647505902969246,0.09169176648025254,0.13062917493089998,0.32246673107147217,0.3367813527584076,0.3367813527584076,"[0.1803818941116333, 0.3959451913833618, 0.33694204688072205, 0.3765977919101715]",0.38253453373908997,0.39999449253082275,0.39999455213546753,"[0.21498924493789673, 0.4633592665195465, 0.39092984795570374, 0.4608597159385681]"
3,0.11791149171919124,0.06302909140450876,0.08639694566686526,0.3271580934524536,0.3433617651462555,0.3433617949485779,"[0.1769765019416809, 0.41565707325935364, 0.3358980417251587, 0.3801007866859436]",0.3847247064113617,0.4032690227031708,0.4032690227031708,"[0.21413111686706543, 0.48508790135383606, 0.38784828782081604, 0.451831579208374]"
4,0.0826439916929032,0.0448510453730258,0.06021846859467086,0.31512555480003357,0.33159172534942627,0.33159175515174866,"[0.16299587488174438, 0.39714038372039795, 0.3299677073955536, 0.37039831280708313]",0.36836516857147217,0.386570006608963,0.3865700364112854,"[0.19975487887859344, 0.4593362510204315, 0.37717488408088684, 0.4371947646141052]"
5,0.053770576354917624,0.030293248613622595,0.038623951807019274,0.3172450661659241,0.33525681495666504,0.3352568447589874,"[0.15832290053367615, 0.4064575135707855, 0.32797616720199585, 0.37622374296188354]",0.36970603466033936,0.389066219329834,0.38906624913215637,"[0.19673725962638855, 0.46658119559288025, 0.3734486997127533, 0.44205692410469055]"
6,0.04374459568613669,0.024599064063351276,0.03144506348547994,0.31433382630348206,0.33176690340042114,0.33176690340042114,"[0.15790273249149323, 0.40073680877685547, 0.32820358872413635, 0.370492160320282]",0.36606210470199585,0.3846200704574585,0.3846201002597809,"[0.19631712138652802, 0.4587017595767975, 0.3741793930530548, 0.4350501596927643]"
7,0.034840328482378176,0.019757711115000378,0.024961472927079696,0.31345388293266296,0.3305933177471161,0.3305933177471161,"[0.15784834325313568, 0.3959958553314209, 0.32870250940322876, 0.3712688088417053]",0.364931583404541,0.3830256760120392,0.3830257058143616,"[0.19737508893013, 0.45381471514701843, 0.3738313913345337, 0.4347052276134491]"
8,0.02839764562957253,0.016378984013770487,0.020208153492786502,0.31613630056381226,0.334527850151062,0.3345278799533844,"[0.15536779165267944, 0.4065828025341034, 0.3276011347770691, 0.3749934732913971]",0.368014931678772,0.3870546519756317,0.3870546817779541,"[0.1967668980360031, 0.46412748098373413, 0.37266868352890015, 0.4384966492652893]"
9,0.02290070586205938,0.013371200192869415,0.016215105712783676,0.3127162456512451,0.3302140235900879,0.3302140533924103,"[0.15544849634170532, 0.3974485397338867, 0.32860079407691956, 0.36936718225479126]",0.3635379672050476,0.3816821575164795,0.3816821575164795,"[0.19570888578891754, 0.4534880220890045, 0.3735305964946747, 0.4314243793487549]"
10,0.020203772128667533,0.011804892848868882,0.014301325692123695,0.31355616450309753,0.331251859664917,0.3312518894672394,"[0.15552325546741486, 0.39933690428733826, 0.3281647562980652, 0.37119972705841064]",0.364107608795166,0.38230571150779724,0.38230574131011963,"[0.1965460330247879, 0.4543667137622833, 0.3721660077571869, 0.43335163593292236]"
