epoch,train_total,train_one_step,train_rollout,valid_1step_mean_per_field,valid_1step_sqrt_mean_mse_over_mean_var,valid_1step_sqrt_sum_mse_over_sum_var,valid_1step_per_field,valid_rollout_mean_per_field,valid_rollout_sqrt_mean_mse_over_mean_var,valid_rollout_sqrt_sum_mse_over_sum_var,valid_rollout_per_field
17,0.15270941221897202,0.06534255935147792,0.1200381322735238,0.26017439365386963,0.27392134070396423,0.2739213705062866,"[0.13098286092281342, 0.31657329201698303, 0.2781364321708679, 0.31500500440597534]",0.3364832401275635,0.35163724422454834,0.3516372740268707,"[0.18885214626789093, 0.4091865122318268, 0.3481566905975342, 0.3997376263141632]"
18,0.14444059311427687,0.062397467787102326,0.11324185904458905,0.258040189743042,0.2716957628726959,0.2716957926750183,"[0.12984752655029297, 0.3139943480491638, 0.2756637632846832, 0.31265512108802795]",0.33747872710227966,0.3533228635787964,0.3533228933811188,"[0.18521010875701904, 0.41053256392478943, 0.35072681307792664, 0.40344536304473877]"
19,0.14475029680534457,0.06200024368237026,0.11375017441263154,0.2645767331123352,0.27905306220054626,0.27905306220054626,"[0.1328912079334259, 0.3239811658859253, 0.27545657753944397, 0.32597804069519043]",0.3480101227760315,0.3659462034702301,0.3659462034702301,"[0.18877314031124115, 0.4327878952026367, 0.3450202941894531, 0.42545920610427856]"
20,0.13966347516710312,0.06041909510987518,0.10945392721916063,0.25367656350135803,0.2676617503166199,0.26766178011894226,"[0.1244179755449295, 0.31127500534057617, 0.2724059224128723, 0.30660736560821533]",0.3301326632499695,0.34537041187286377,0.34537044167518616,"[0.18211904168128967, 0.4045506715774536, 0.3455456793308258, 0.38831526041030884]"
21,0.13889893329312616,0.05943172463121214,0.1091830704854383,0.25947824120521545,0.27337566018104553,0.2733756899833679,"[0.1289285570383072, 0.3173385262489319, 0.28038501739501953, 0.311260849237442]",0.34453949332237244,0.3602549433708191,0.3602549433708191,"[0.19045567512512207, 0.4200191795825958, 0.3623389005661011, 0.4053442180156708]"
22,0.1353863678194459,0.058064266900591396,0.10635423394311969,0.253330260515213,0.26749563217163086,0.26749563217163086,"[0.12431562691926956, 0.310975044965744, 0.26809161901474, 0.3099387586116791]",0.3365689814090729,0.35376352071762085,0.35376352071762085,"[0.18022142350673676, 0.41446739435195923, 0.3412851393222809, 0.41030195355415344]"
23,0.13270754469272375,0.056729018217036346,0.10434303517248614,0.2529061734676361,0.2665632963180542,0.2665633261203766,"[0.1269231140613556, 0.31231412291526794, 0.2671926021575928, 0.30519482493400574]",0.3438487946987152,0.3603467345237732,0.3603467643260956,"[0.19001850485801697, 0.4292714297771454, 0.35016733407974243, 0.40593796968460083]"
24,0.12713179190425164,0.05452426801486289,0.09986965750161356,0.25572317838668823,0.2687593996524811,0.26875942945480347,"[0.13255256414413452, 0.3056955337524414, 0.26884928345680237, 0.31579527258872986]",0.34892621636390686,0.36540135741233826,0.36540138721466064,"[0.1951424777507782, 0.41840311884880066, 0.3512110114097595, 0.43094828724861145]"
25,0.12870803619812002,0.055002698474442564,0.101206686611928,0.24765077233314514,0.26094332337379456,0.26094332337379456,"[0.12332109361886978, 0.30502378940582275, 0.26660269498825073, 0.2956555187702179]",0.32431259751319885,0.3397061228752136,0.3397061228752136,"[0.17769674956798553, 0.40206378698349, 0.33690887689590454, 0.38058093190193176]"
26,0.1258056105970984,0.05352372910395863,0.09904374593063027,0.24632690846920013,0.2597843408584595,0.2597843408584595,"[0.12104501575231552, 0.30053725838661194, 0.26573196053504944, 0.29799342155456543]",0.3282496929168701,0.34416109323501587,0.34416109323501587,"[0.1783839762210846, 0.40307921171188354, 0.3385998010635376, 0.39293578267097473]"
27,0.11996128408339571,0.05140954392783819,0.09425651193123055,0.24284902215003967,0.2558971047401428,0.2558971345424652,"[0.1204390898346901, 0.2974048852920532, 0.26254743337631226, 0.2910047173500061]",0.3218100666999817,0.3370484709739685,0.3370484709739685,"[0.17657652497291565, 0.3950214684009552, 0.33298200368881226, 0.3826601803302765]"
28,0.11859437964204919,0.05053147619885192,0.09332864126080458,0.25242477655410767,0.2667447030544281,0.2667447030544281,"[0.1226055696606636, 0.31219789385795593, 0.2682364583015442, 0.30665916204452515]",0.3450077474117279,0.36198827624320984,0.3619883060455322,"[0.18847768008708954, 0.4212110936641693, 0.34896811842918396, 0.4213741421699524]"
29,0.11646536731515653,0.04976135784931851,0.09158468814060339,0.242655411362648,0.255668044090271,0.255668044090271,"[0.12026285380125046, 0.2959675192832947, 0.26287227869033813, 0.29151901602745056]",0.32064661383628845,0.3354276120662689,0.3354276418685913,"[0.1764528900384903, 0.3893471956253052, 0.33649179339408875, 0.380294531583786]"
30,0.11224124193561415,0.048220480325462264,0.08813100153179597,0.24115459620952606,0.2541217505931854,0.2541217505931854,"[0.11929011344909668, 0.2933388352394104, 0.2612219452857971, 0.29076752066612244]",0.3222062587738037,0.33713197708129883,0.33713197708129883,"[0.1773296445608139, 0.39332422614097595, 0.3371712565422058, 0.38099998235702515]"
31,0.11494473310244703,0.04871746679398079,0.09058599984691638,0.2415824830532074,0.2550615072250366,0.2550615072250366,"[0.11702220886945724, 0.2948784828186035, 0.26144224405288696, 0.2929869592189789]",0.3206128478050232,0.3374987244606018,0.3374987542629242,"[0.16720226407051086, 0.39578166604042053, 0.3300393223762512, 0.38942810893058777]"
32,0.11005825413738864,0.04706641507883232,0.08652504620276585,0.2366485297679901,0.24945390224456787,0.24945391714572906,"[0.11600787937641144, 0.28808867931365967, 0.2589755356311798, 0.2835220396518707]",0.3123553991317749,0.3274783492088318,0.3274783492088318,"[0.16797131299972534, 0.3839606046676636, 0.32820868492126465, 0.3692810535430908]"
33,0.10676695891253069,0.045828932334820854,0.08385249256347933,0.23841024935245514,0.2515593469142914,0.25155937671661377,"[0.11470905691385269, 0.28964948654174805, 0.26454517245292664, 0.2847372889518738]",0.31749725341796875,0.33350884914398193,0.3335088789463043,"[0.16551341116428375, 0.38979601860046387, 0.3391783833503723, 0.37550127506256104]"
34,0.1082992289285781,0.04584647682946765,0.08537599047201182,0.25162017345428467,0.26568618416786194,0.2656862139701843,"[0.12222307920455933, 0.30878543853759766, 0.2708032429218292, 0.30466896295547485]",0.3414888083934784,0.35768598318099976,0.35768598318099976,"[0.18924933671951294, 0.42000269889831543, 0.34763747453689575, 0.40906575322151184]"
35,0.10702314052563469,0.045478982690184536,0.08428364880735288,0.24057528376579285,0.25449955463409424,0.25449955463409424,"[0.11469771713018417, 0.2980184257030487, 0.25834256410598755, 0.29124245047569275]",0.32873570919036865,0.345095157623291,0.3450951874256134,"[0.1754390001296997, 0.4019065797328949, 0.3413505554199219, 0.39624670147895813]"
36,0.10353850037845877,0.044219107882298055,0.08142894609494412,0.23441573977470398,0.24707023799419403,0.24707025289535522,"[0.11455562710762024, 0.28411608934402466, 0.258508563041687, 0.2804826498031616]",0.30824774503707886,0.3235819935798645,0.3235820233821869,"[0.16216570138931274, 0.37848180532455444, 0.32823386788368225, 0.364109605550766]"
37,0.09989156018299696,0.04269634401998163,0.07854338812842154,0.2342044562101364,0.24721252918243408,0.24721252918243408,"[0.1130378395318985, 0.2864573001861572, 0.25659748911857605, 0.2807251811027527]",0.31243422627449036,0.32800623774528503,0.3280062675476074,"[0.1649787575006485, 0.38668158650398254, 0.3309454917907715, 0.3671310544013977]"
38,0.09809215088544444,0.04203442662478762,0.0770749374827806,0.24219061434268951,0.25491800904273987,0.25491803884506226,"[0.12093023955821991, 0.2943972647190094, 0.2642368674278259, 0.2891980707645416]",0.3197596073150635,0.33605143427848816,0.33605143427848816,"[0.16799913346767426, 0.3995891809463501, 0.3361470103263855, 0.3753030002117157]"
39,0.09997726348944308,0.04218856637403545,0.07888297996446314,0.2396911382675171,0.2536080777645111,0.2536080777645111,"[0.11345008760690689, 0.2918887138366699, 0.2587237060070038, 0.29470208287239075]",0.3178306519985199,0.33419543504714966,0.33419543504714966,"[0.16696429252624512, 0.3920246362686157, 0.32952189445495605, 0.3828118145465851]"
40,0.09238810031443623,0.040101758569884106,0.07233722057043801,0.2328537106513977,0.2463601678609848,0.246360182762146,"[0.10993178188800812, 0.2861658036708832, 0.2531048655509949, 0.28221237659454346]",0.30383962392807007,0.3199310302734375,0.3199310600757599,"[0.1555147022008896, 0.37897637486457825, 0.32157498598098755, 0.35929247736930847]"
41,0.09461799440971504,0.04039869302262863,0.07441864759786755,0.23584040999412537,0.24930961430072784,0.24930962920188904,"[0.11160416156053543, 0.2862887978553772, 0.2590755522251129, 0.2863931357860565]",0.3092641234397888,0.32393980026245117,0.32393980026245117,"[0.16691164672374725, 0.3782344162464142, 0.3282068073749542, 0.36370357871055603]"
42,0.09370476638030781,0.040069032053135105,0.07367025011485491,0.2336806356906891,0.2466088980436325,0.2466089129447937,"[0.11249981820583344, 0.2814171612262726, 0.25749337673187256, 0.28331220149993896]",0.30722153186798096,0.32319435477256775,0.32319438457489014,"[0.1582905650138855, 0.37878182530403137, 0.3258121609687805, 0.3660016357898712]"
43,0.08795594150997504,0.03807739781581271,0.06891724232575432,0.23320728540420532,0.24633345007896423,0.24633346498012543,"[0.11089163273572922, 0.28314411640167236, 0.25829511880874634, 0.2804982364177704]",0.3081163763999939,0.3245430588722229,0.3245430886745453,"[0.1579802930355072, 0.38913053274154663, 0.3251745104789734, 0.36018016934394836]"
44,0.08908623842694235,0.038154449344702926,0.07000901332525779,0.23726338148117065,0.25097113847732544,0.2509711682796478,"[0.11140954494476318, 0.2871362566947937, 0.26076921820640564, 0.2897385060787201]",0.314960241317749,0.33093613386154175,0.33093613386154175,"[0.16615654528141022, 0.39341574907302856, 0.3300725519657135, 0.3701961636543274]"
45,0.0848307021085534,0.03682874987258556,0.06641632681338218,0.23183391988277435,0.24537214636802673,0.24537216126918793,"[0.10750932991504669, 0.2797077000141144, 0.25735774636268616, 0.282760888338089]",0.3076392710208893,0.32394227385520935,0.32394230365753174,"[0.15714862942695618, 0.37931764125823975, 0.32514578104019165, 0.3689449727535248]"
46,0.0845922023040324,0.0364774551031226,0.06635347441120633,0.23389557003974915,0.24799539148807526,0.24799540638923645,"[0.10721735656261444, 0.28944459557533264, 0.25670433044433594, 0.28221598267555237]",0.31290674209594727,0.33080968260765076,0.33080971240997314,"[0.15550804138183594, 0.3992055654525757, 0.3258330225944519, 0.37108033895492554]"
47,0.07083994867037938,0.03245896140848843,0.05461046767661053,0.226943701505661,0.24037212133407593,0.24037212133407593,"[0.10409898310899734, 0.2740991413593292, 0.2530810236930847, 0.27649569511413574]",0.2983440160751343,0.31442877650260925,0.31442877650260925,"[0.14916492998600006, 0.3655405342578888, 0.3210826814174652, 0.3575878441333771]"
48,0.06738625393286524,0.031179725705485255,0.05179639075426979,0.225737065076828,0.23931428790092468,0.23931430280208588,"[0.10215649753808975, 0.2724970579147339, 0.2530050575733185, 0.2752896547317505]",0.2956107258796692,0.31157389283180237,0.31157389283180237,"[0.14797817170619965, 0.36376407742500305, 0.31731081008911133, 0.3533898890018463]"
49,0.06645345566331917,0.030654153280206747,0.051126378678648464,0.22468212246894836,0.2382522076368332,0.23825222253799438,"[0.1013866662979126, 0.2703149914741516, 0.251801997423172, 0.27522486448287964]",0.2942582964897156,0.3101913034915924,0.3101913332939148,"[0.14650623500347137, 0.36101141571998596, 0.3177371323108673, 0.35177841782569885]"
50,0.06613495351028921,0.030287406160705337,0.05099125034296907,0.22671052813529968,0.24044467508792877,0.24044468998908997,"[0.10219931602478027, 0.27287861704826355, 0.2535955309867859, 0.278168648481369]",0.2971380949020386,0.31322723627090454,0.31322726607322693,"[0.14807546138763428, 0.36471861600875854, 0.32036373019218445, 0.35539451241493225]"
