epoch,train_total,train_one_step,train_rollout,valid_1step_mean_per_field,valid_1step_sqrt_mean_mse_over_mean_var,valid_1step_sqrt_sum_mse_over_sum_var,valid_1step_per_field,valid_rollout_mean_per_field,valid_rollout_sqrt_mean_mse_over_mean_var,valid_rollout_sqrt_sum_mse_over_sum_var,valid_rollout_per_field
1,0.23952761782998172,0.1196661293418554,0.17969455196572814,0.3271327614784241,0.34236711263656616,0.34236714243888855,"[0.18048454821109772, 0.4056491255760193, 0.33766886591911316, 0.38472849130630493]",0.3918425440788269,0.41055089235305786,0.41055089235305786,"[0.21851412951946259, 0.4810064733028412, 0.3933234214782715, 0.4745260775089264]"
2,0.16171536646589602,0.0805647384472209,0.12143299672268243,0.3027889132499695,0.3167197108268738,0.31671974062919617,"[0.16645647585391998, 0.3728269636631012, 0.31676003336906433, 0.3551121652126312]",0.36216384172439575,0.37767812609672546,0.37767815589904785,"[0.209074929356575, 0.4422137141227722, 0.37186214327812195, 0.42550456523895264]"
3,0.11947869153662495,0.0602737161645723,0.08934183302500569,0.29338082671165466,0.30735933780670166,0.30735936760902405,"[0.15748441219329834, 0.3614911735057831, 0.3105137050151825, 0.34403398633003235]",0.3510185778141022,0.3672579824924469,0.3672580122947693,"[0.194072425365448, 0.42784392833709717, 0.36475786566734314, 0.4174000918865204]"
4,0.0857502708198331,0.04445434718813315,0.06352309690211541,0.292025089263916,0.3064136803150177,0.3064137101173401,"[0.15440797805786133, 0.36245718598365784, 0.3088187277317047, 0.3424164354801178]",0.35079532861709595,0.36777517199516296,0.36777523159980774,"[0.1914522349834442, 0.43463996052742004, 0.36075782775878906, 0.4163312315940857]"
5,0.06718864710230918,0.03512951134578556,0.04962389120484216,0.28907671570777893,0.3036268651485443,0.3036268651485443,"[0.1506432592868805, 0.3588024079799652, 0.3073670268058777, 0.3394941985607147]",0.3484797477722168,0.36562928557395935,0.36562931537628174,"[0.18749679625034332, 0.43215301632881165, 0.361839234828949, 0.4124300181865692]"
6,0.05479836378501944,0.029184578728573683,0.04020607415102334,0.2858518958091736,0.30037569999694824,0.30037572979927063,"[0.1477757841348648, 0.3539033532142639, 0.30508190393447876, 0.33664649724960327]",0.3428363502025604,0.35963770747184753,0.3596377372741699,"[0.18375752866268158, 0.421590119600296, 0.35848718881607056, 0.40751054883003235]"
7,0.04419215499967266,0.023929585845828338,0.032227361887411585,0.28629595041275024,0.3011707067489624,0.3011707365512848,"[0.14613671600818634, 0.3552290201187134, 0.30597206950187683, 0.33784592151641846]",0.3448961079120636,0.3618300259113312,0.3618300259113312,"[0.18513813614845276, 0.4271465837955475, 0.3600482642650604, 0.4072514474391937]"
8,0.03681478748895034,0.020450354029752545,0.026589610312248515,0.2852916717529297,0.30023613572120667,0.30023616552352905,"[0.14505089819431305, 0.35444915294647217, 0.3046824038028717, 0.3369843065738678]",0.3428729176521301,0.36001795530319214,0.36001795530319214,"[0.18271157145500183, 0.4249141216278076, 0.35666778683662415, 0.4071981906890869]"
9,0.03241648135077094,0.018009005842100714,0.02341197830037022,0.2861599922180176,0.3013875484466553,0.3013875484466553,"[0.1441013365983963, 0.35531023144721985, 0.3057546615600586, 0.3394736647605896]",0.34563443064689636,0.3630748391151428,0.3630748689174652,"[0.18387100100517273, 0.4279133081436157, 0.3576546311378479, 0.4130987823009491]"
10,0.028279282813165205,0.015996273932868427,0.020281145732242163,0.28620797395706177,0.30163514614105225,0.30163514614105225,"[0.14307689666748047, 0.35505691170692444, 0.30551677942276, 0.3411813974380493]",0.3442818522453308,0.36177781224250793,0.3617778420448303,"[0.18234391510486603, 0.42671820521354675, 0.35674044489860535, 0.4113248586654663]"
