epoch,train_total,train_one_step,train_rollout,valid_1step_mean_per_field,valid_1step_sqrt_mean_mse_over_mean_var,valid_1step_sqrt_sum_mse_over_sum_var,valid_1step_per_field,valid_rollout_mean_per_field,valid_rollout_sqrt_mean_mse_over_mean_var,valid_rollout_sqrt_sum_mse_over_sum_var,valid_rollout_per_field
1,0.24233064061607593,0.12185946875306872,0.18140090457725186,0.3216733932495117,0.33463630080223083,0.3346363306045532,"[0.19016261398792267, 0.3952910304069519, 0.32966348528862, 0.37157636880874634]",0.380104124546051,0.39543014764785767,0.39543014764785767,"[0.22764424979686737, 0.45973560214042664, 0.38270869851112366, 0.45032787322998047]"
1,0.2490990807084327,0.12466560075187232,0.18676627909953994,0.32538050413131714,0.3381386399269104,0.3381386697292328,"[0.19418150186538696, 0.39776289463043213, 0.33387497067451477, 0.3757025897502899]",0.38437026739120483,0.40050071477890015,0.40050074458122253,"[0.2275456041097641, 0.4671430289745331, 0.3843669891357422, 0.45842549204826355]"
2,0.17457607881679038,0.08782612713797999,0.1306630143142761,0.3122880160808563,0.3251456618309021,0.3251456618309021,"[0.18033070862293243, 0.379443496465683, 0.3264143168926239, 0.3629635274410248]",0.3719806969165802,0.3876632750034332,0.3876633048057556,"[0.21617096662521362, 0.448146253824234, 0.380993127822876, 0.4426124393939972]"
3,0.14213753452009342,0.07306191640031957,0.10560657557795797,0.2988528311252594,0.3112215995788574,0.3112216293811798,"[0.17145724594593048, 0.364224910736084, 0.31555667519569397, 0.34417250752449036]",0.3548972010612488,0.37008050084114075,0.37008053064346313,"[0.20466843247413635, 0.43477416038513184, 0.3658366799354553, 0.41430944204330444]"
4,0.11384894299908732,0.06044552413125833,0.08362618040284649,0.2978324294090271,0.3105000853538513,0.3105001151561737,"[0.16822762787342072, 0.3622484505176544, 0.31604012846946716, 0.3448134958744049]",0.35358449816703796,0.3688732087612152,0.3688732385635376,"[0.20242607593536377, 0.43242526054382324, 0.365805983543396, 0.41368064284324646]"
5,0.09839245331766476,0.05273882989676991,0.0720230378078442,0.2950041890144348,0.3078534007072449,0.3078534007072449,"[0.1647939682006836, 0.36014848947525024, 0.31366103887557983, 0.34141331911087036]",0.3529289960861206,0.36866724491119385,0.36866727471351624,"[0.19987133145332336, 0.4333638548851013, 0.3635634183883667, 0.41491737961769104]"
6,0.08784405872155307,0.047276914203385374,0.06420560108484528,0.292949914932251,0.30593088269233704,0.30593088269233704,"[0.1625537872314453, 0.35792118310928345, 0.310591459274292, 0.34073325991630554]",0.34887564182281494,0.36442655324935913,0.3644265830516815,"[0.19692040979862213, 0.42655858397483826, 0.3609873950481415, 0.41103610396385193]"
7,0.07503627580161212,0.04148468766449543,0.054293931600578285,0.29422783851623535,0.3076178729534149,0.3076179027557373,"[0.1611432582139969, 0.3595641851425171, 0.31196773052215576, 0.3442361354827881]",0.3520682156085968,0.36847442388534546,0.36847442388534546,"[0.19561916589736938, 0.4349029064178467, 0.36227014660835266, 0.4154805839061737]"
8,0.0679661017131439,0.03765371308197437,0.04913924476814326,0.294943630695343,0.3086259663105011,0.3086259961128235,"[0.1599397361278534, 0.36076414585113525, 0.3130769729614258, 0.34599369764328003]",0.3535362184047699,0.3699086010456085,0.3699086308479309,"[0.19636182487010956, 0.43325355648994446, 0.3648565709590912, 0.4196729362010956]"
9,0.062163655868517874,0.03454388159131257,0.04489171482516941,0.29233410954475403,0.3059627115726471,0.3059627413749695,"[0.1583806723356247, 0.3588441014289856, 0.3099292814731598, 0.3421823978424072]",0.349332332611084,0.3649553656578064,0.3649553954601288,"[0.19665120542049408, 0.42612168192863464, 0.36189019680023193, 0.4126662611961365]"
