Model,Field 1,Field 2,Field 3,Field 4
baseline (VRMSE),1.9597,1.4643,0.9464,2.3837
Delta_16_4,0.1929,0.4444,0.3532,0.4027
Delta_32_4,0.1818,0.4391,0.3478,0.3958
Full_16_4,0.2014,0.4659,0.3657,0.4165
Full_32_4,0.1929,0.4615,0.3562,0.4093
Full_32_5,0.1942,0.4653,0.3616,0.4164
Full_64_4,0.1903,0.4588,0.3522,0.4076
Delta_64_4,0.18,0.444,0.3465,0.396
