epoch,train_total,train_one_step,train_rollout,valid_1step_mean_per_field,valid_1step_sqrt_mean_mse_over_mean_var,valid_1step_sqrt_sum_mse_over_sum_var,valid_1step_per_field,valid_rollout_mean_per_field,valid_rollout_sqrt_mean_mse_over_mean_var,valid_rollout_sqrt_sum_mse_over_sum_var,valid_rollout_per_field
1,0.4124718966847616,0.2335481075195697,0.29569784189898074,0.40421146154403687,0.4282214641571045,0.4282214939594269,"[0.21095995604991913, 0.5457366704940796, 0.39219561219215393, 0.46795356273651123]",0.4745442867279053,0.4986535906791687,0.4986535906791687,"[0.27412089705467224, 0.622265100479126, 0.4466642141342163, 0.5551269054412842]"
2,0.30297845612603724,0.15069666936394735,0.22763012080997158,0.371846467256546,0.39411720633506775,0.39411723613739014,"[0.18705187737941742, 0.4920803904533386, 0.36965814232826233, 0.4385954439640045]",0.4415247142314911,0.46451401710510254,0.4645140469074249,"[0.24711188673973083, 0.5720115900039673, 0.4226721525192261, 0.5243031978607178]"
3,0.2739463366268656,0.1316345961936188,0.2081290371627954,0.36005496978759766,0.3802628517150879,0.3802628517150879,"[0.18359994888305664, 0.46458864212036133, 0.36573362350463867, 0.42629772424697876]",0.4358908534049988,0.45798343420028687,0.45798346400260925,"[0.24350225925445557, 0.5575608015060425, 0.4238113462924957, 0.518688976764679]"
4,0.24849667805236,0.11758446633533946,0.18970444395116598,0.34086209535598755,0.36021238565444946,0.36021241545677185,"[0.17196987569332123, 0.436491459608078, 0.34639808535575867, 0.4085890054702759]",0.4169003963470459,0.43879690766334534,0.43879690766334534,"[0.22801199555397034, 0.531283438205719, 0.405938059091568, 0.502368152141571]"
5,0.23247322050885388,0.10897755863290307,0.17798443969964417,0.3268202543258667,0.3441329300403595,0.3441329598426819,"[0.16772615909576416, 0.41041654348373413, 0.3413703739643097, 0.3877680003643036]",0.3992210924625397,0.41795623302459717,0.41795626282691956,"[0.2237195372581482, 0.49367719888687134, 0.40332505106925964, 0.4761625826358795]"
6,0.2206268231989926,0.10209223641254378,0.16958070412524767,0.316387802362442,0.3335786461830139,0.3335786461830139,"[0.15893903374671936, 0.3954824209213257, 0.33331090211868286, 0.3778187930583954]",0.3864700198173523,0.4041908383369446,0.40419086813926697,"[0.21831852197647095, 0.4743252396583557, 0.39147666096687317, 0.4617595970630646]"
7,0.20441318866983937,0.09453254251192647,0.15714691637466985,0.3088149428367615,0.3254764974117279,0.3254765272140503,"[0.15626290440559387, 0.3859463036060333, 0.32362234592437744, 0.36942827701568604]",0.3800293207168579,0.39811956882476807,0.39811956882476807,"[0.21308383345603943, 0.4725938141345978, 0.38033121824264526, 0.4541083872318268]"
8,0.19433130214682143,0.08911733852421984,0.14977263261610313,0.30108851194381714,0.31667760014533997,0.31667760014533997,"[0.15335461497306824, 0.36532288789749146, 0.3215252161026001, 0.36415135860443115]",0.37442368268966675,0.3913593590259552,0.3913593888282776,"[0.21058228611946106, 0.453307569026947, 0.3846358358860016, 0.4491691291332245]"
9,0.1870723339700389,0.08483952629527443,0.14465257071011456,0.30035942792892456,0.3165740370750427,0.3165740668773651,"[0.15115655958652496, 0.36877697706222534, 0.3155493140220642, 0.36595484614372253]",0.37985867261886597,0.3969854414463043,0.3969854712486267,"[0.21951176226139069, 0.4699667692184448, 0.3771660625934601, 0.4527900218963623]"
10,0.1813566142662338,0.08181702512939489,0.14044810102341024,0.28815752267837524,0.3031723201274872,0.3031723201274872,"[0.146511048078537, 0.35432538390159607, 0.3079088628292084, 0.34388473629951477]",0.36081942915916443,0.3772338628768921,0.3772338926792145,"[0.20448723435401917, 0.44600778818130493, 0.36651846766471863, 0.4262642562389374]"
11,0.17463627289408207,0.07852225364064776,0.1353751453824218,0.2865721583366394,0.301648885011673,0.301648885011673,"[0.14435729384422302, 0.3528597354888916, 0.3085530996322632, 0.3405185341835022]",0.36449432373046875,0.38128358125686646,0.38128358125686646,"[0.2039581686258316, 0.45336607098579407, 0.375349223613739, 0.4253038167953491]"
12,0.16475399297356041,0.07457968022841652,0.12746415247625492,0.2811709940433502,0.2957362234592438,0.29573625326156616,"[0.1430908739566803, 0.3396620750427246, 0.3003382086753845, 0.34159281849861145]",0.3626009225845337,0.38064634799957275,0.38064637780189514,"[0.19931532442569733, 0.4440656304359436, 0.3610574007034302, 0.44596537947654724]"
13,0.1616878968005203,0.07243515252538607,0.1254703204453555,0.27707231044769287,0.29168277978897095,0.29168277978897095,"[0.13885298371315002, 0.3322243094444275, 0.29857638478279114, 0.3386356234550476]",0.3498821258544922,0.36578747630119324,0.3657875061035156,"[0.19538907706737518, 0.42563867568969727, 0.36243191361427307, 0.41606879234313965]"
14,0.1570317133750335,0.07021418226173866,0.12192462218251635,0.269802451133728,0.2838813066482544,0.2838813066482544,"[0.1359938383102417, 0.3259086012840271, 0.29096218943595886, 0.3263451159000397]",0.3399536609649658,0.35537245869636536,0.35537248849868774,"[0.1897352784872055, 0.41509830951690674, 0.3534446358680725, 0.40153640508651733]"
15,0.14968194563743212,0.0670989363214296,0.11613247684923046,0.268110990524292,0.2820851504802704,0.2820851802825928,"[0.1352194994688034, 0.3242185413837433, 0.28922954201698303, 0.32377639412879944]",0.34017807245254517,0.356320321559906,0.3563203513622284,"[0.18748392164707184, 0.4231102764606476, 0.3505207300186157, 0.3995974361896515]"
16,0.1457881859853758,0.06531537626704849,0.11313049762947903,0.2632888853549957,0.2768336534500122,0.2768336832523346,"[0.1338132917881012, 0.3190048635005951, 0.2839123606681824, 0.31642499566078186]",0.33840012550354004,0.3543645739555359,0.3543646037578583,"[0.1857626587152481, 0.41435495018959045, 0.3507022261619568, 0.4027807116508484]"
17,0.1393411569649587,0.06283812759880056,0.10792209260412283,0.2597692310810089,0.27344244718551636,0.27344247698783875,"[0.13006430864334106, 0.3163011968135834, 0.2815684676170349, 0.3111429512500763]",0.33276140689849854,0.3480510413646698,0.3480510711669922,"[0.18492603302001953, 0.40879717469215393, 0.3455287218093872, 0.3917936682701111]"
18,0.13743451399724252,0.06144410054294071,0.10671246326561515,0.2567524313926697,0.2701716125011444,0.2701716125011444,"[0.12857286632061005, 0.30902352929115295, 0.2795731723308563, 0.3098401129245758]",0.32920998334884644,0.3451821208000183,0.3451821208000183,"[0.1777256280183792, 0.4027833342552185, 0.34264054894447327, 0.3936903476715088]"
19,0.13189825259730326,0.059283141440868235,0.10225668154110863,0.2535700500011444,0.26667076349258423,0.2666707932949066,"[0.127864807844162, 0.3058880567550659, 0.27596867084503174, 0.3045586049556732]",0.32701024413108826,0.3421330153942108,0.3421330451965332,"[0.17931362986564636, 0.3991047143936157, 0.3448793888092041, 0.38474321365356445]"
20,0.12762393811211237,0.05752729072981904,0.09886029246428334,0.2519659399986267,0.265175461769104,0.265175461769104,"[0.1260329931974411, 0.3048139810562134, 0.27432262897491455, 0.30269408226013184]",0.32153385877609253,0.3370259702205658,0.3370259702205658,"[0.17374151945114136, 0.3936149477958679, 0.3360968828201294, 0.3826819956302643]"
21,0.12364332932741084,0.05589834066772785,0.09569415855650784,0.248561292886734,0.261698454618454,0.26169848442077637,"[0.12377335131168365, 0.30091261863708496, 0.2705908715724945, 0.2989683449268341]",0.3177512288093567,0.33341774344444275,0.33341774344444275,"[0.16901102662086487, 0.38989371061325073, 0.33457982540130615, 0.377520352602005]"
22,0.11952020813123132,0.05421496743345127,0.09241272405617768,0.2476644515991211,0.2607775032520294,0.2607775032520294,"[0.12272313237190247, 0.29942086338996887, 0.27154821157455444, 0.2969655990600586]",0.3200419545173645,0.3365173041820526,0.336517333984375,"[0.16703778505325317, 0.394721657037735, 0.33526310324668884, 0.383145272731781]"
23,0.11667201867058485,0.05266725240896145,0.0903383921743778,0.24760475754737854,0.26075926423072815,0.26075929403305054,"[0.12315961718559265, 0.29871028661727905, 0.26847660541534424, 0.30007249116897583]",0.32788196206092834,0.34393811225891113,0.34393811225891113,"[0.17546141147613525, 0.40001893043518066, 0.34331122040748596, 0.3927362859249115]"
24,0.11308305123578713,0.05149336009292949,0.08733637085356188,0.24531525373458862,0.25847136974334717,0.25847136974334717,"[0.12186454981565475, 0.3007315993309021, 0.2650274932384491, 0.29363730549812317]",0.3198193609714508,0.33609041571617126,0.33609041571617126,"[0.1696212887763977, 0.39967578649520874, 0.33134427666664124, 0.37863603234291077]"
25,0.11041434945860089,0.050262110828516685,0.08528329369922479,0.24577391147613525,0.2583366632461548,0.2583366930484772,"[0.12488719820976257, 0.2947474420070648, 0.2663555443286896, 0.29710543155670166]",0.31746089458465576,0.3328920900821686,0.33289211988449097,"[0.17059996724128723, 0.3876267671585083, 0.3322131633758545, 0.37940365076065063]"
26,0.10650740741327158,0.04876074868190514,0.08212703283233282,0.24005074799060822,0.2530670464038849,0.2530670464038849,"[0.11782483756542206, 0.2904416024684906, 0.2611068785190582, 0.29082971811294556]",0.31268808245658875,0.32869330048561096,0.32869333028793335,"[0.1627223789691925, 0.3824073374271393, 0.33012592792510986, 0.3754967153072357]"
27,0.10410562975345351,0.04762904286543106,0.08029110800589372,0.23811113834381104,0.25076907873153687,0.25076907873153687,"[0.1175951436161995, 0.2856774628162384, 0.2612285614013672, 0.28794339299201965]",0.306482195854187,0.3220946788787842,0.32209470868110657,"[0.15969103574752808, 0.37624087929725647, 0.32457971572875977, 0.36541715264320374]"
28,0.10078852772976912,0.04632497268968898,0.07762604103320175,0.2377939373254776,0.2505837678909302,0.25058379769325256,"[0.11661030352115631, 0.2852618992328644, 0.2610403895378113, 0.28826314210891724]",0.3081355690956116,0.323901504278183,0.323901504278183,"[0.15968574583530426, 0.3749425411224365, 0.3273901641368866, 0.3705238699913025]"
29,0.09824136862570935,0.04529253330662952,0.07559510175112291,0.2383471429347992,0.25124892592430115,0.25124895572662354,"[0.11673688143491745, 0.2866051495075226, 0.26052308082580566, 0.28952348232269287]",0.3106076717376709,0.3270248472690582,0.3270248770713806,"[0.15949305891990662, 0.3834284543991089, 0.32640260457992554, 0.37310653924942017]"
30,0.09556533564454557,0.044260618472846125,0.07343502607786627,0.23681004345417023,0.24985019862651825,0.24985021352767944,"[0.11463642120361328, 0.2860131859779358, 0.25973576307296753, 0.2868548035621643]",0.30935242772102356,0.3252286911010742,0.3252287209033966,"[0.16107575595378876, 0.3807016611099243, 0.3260151147842407, 0.36961716413497925]"
31,0.09327346545778409,0.043301240961567164,0.07162284469298015,0.23416820168495178,0.2468041479587555,0.2468041628599167,"[0.11418107151985168, 0.28060194849967957, 0.2588946223258972, 0.28299519419670105]",0.3033013939857483,0.3186379373073578,0.3186379671096802,"[0.15727442502975464, 0.37035733461380005, 0.32573792338371277, 0.3598359227180481]"
32,0.08993439144294171,0.04220582232381224,0.06883148002894,0.2331905961036682,0.24584969878196716,0.24584971368312836,"[0.1134955957531929, 0.2805587649345398, 0.2571048140525818, 0.28160321712493896]",0.3038235306739807,0.3194665312767029,0.3194665312767029,"[0.15665508806705475, 0.37365850806236267, 0.324567586183548, 0.3604128658771515]"
33,0.08786547075666434,0.04134714905498439,0.06719189610587649,0.2329193502664566,0.2457348257303238,0.24573484063148499,"[0.11239884793758392, 0.27922511100769043, 0.25698041915893555, 0.2830730080604553]",0.30267590284347534,0.3184855580329895,0.3184855580329895,"[0.15521986782550812, 0.37029123306274414, 0.32150769233703613, 0.36368483304977417]"
34,0.08565337960355107,0.040476521129233334,0.06541511851052444,0.23243050277233124,0.24521873891353607,0.24521875381469727,"[0.11193471401929855, 0.2775891423225403, 0.257376492023468, 0.2828216552734375]",0.3028537631034851,0.3184289336204529,0.3184289336204529,"[0.15659989416599274, 0.3687402606010437, 0.3215307295322418, 0.364544153213501]"
