Model,1,2,3,4
ConvNextU-Net_4_2_1_42_7,0.2209,0.2701,0.3103,0.3466
ConvNextU-Net_4_2_1_48_7,0.216,0.2694,0.3109,0.3471
ConvNextU-Net_delta_4_2_1_42_7,0.2473,0.3014,0.3409,0.3735
