Model,VRMSE ↓,Rel L2 ↓,R² ↑,RMSE ↓,MAE ↓
ConvNextU-Net_4_2_1_42_7,0.2912,0.2908,0.9081,0.2971,0.1084
ConvNextU-Net_4_2_1_48_7,0.2905,0.2901,0.9083,0.2963,0.1071
ConvNextU-Net_delta_4_2_1_42_7,0.3198,0.3193,0.8889,0.3263,0.1153
