Model,Field 1,Field 2,Field 3,Field 4
ConvNextU-Net_4_2_1_42_7,0.1503,0.3658,0.3037,0.3452
ConvNextU-Net_4_2_1_48_7,0.1478,0.3676,0.3047,0.3419
ConvNextU-Net_delta_4_2_1_42_7,0.1656,0.4084,0.3259,0.3794
